stop_id,stop_name,stop_type,coordinates
6900700,Firholm,bus,"[-3.183285, 55.651259]"
6900704,Scout Hall,bus,"[-3.188642, 55.65499]"
6900706,East Station Car Park,bus,"[-3.186778, 55.653786]"
6900812,Caberston Avenue,bus,"[-3.026604, 55.624994]"
6900813,Peebles Road,bus,"[-3.02309, 55.624825]"
6900815,former Mill,bus,"[-3.018315, 55.623778]"
6900817,Post Office,bus,"[-3.01661, 55.623585]"
6900840,Horsbrugh Ford Cotts,bus,"[-3.116376, 55.642181]"
6900841,Horsbrugh Ford Cotts,bus,"[-3.117188, 55.642237]"
6900949,Peebles High School Campus,bus,"[-3.190923, 55.645838]"
6900964,Dalatho Crescent South,bus,"[-3.191548, 55.658035]"
6900965,Dalatho Crescent South,bus,"[-3.191261, 55.658002]"
6900966,Dalatho Street,bus,"[-3.191984, 55.659334]"
6900967,Dalatho Street,bus,"[-3.19185, 55.659622]"
6900968,Dalatho Crescent North,bus,"[-3.192673, 55.66107]"
6900969,Harrisons Garage,bus,"[-3.192592, 55.661529]"
6900970,Horseshoe Inn,bus,"[-3.206599, 55.712216]"
6900971,Horseshoe Inn,bus,"[-3.206455, 55.712191]"
